Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015],2020 [YR2020]
Niger,NER,GDP (constant LCU),NY.GDP.MKTP.KN,2673528889000,3311611211800,4315458945100,5725216000000,7476520330750.35
Niger,NER,GDP (current LCU),NY.GDP.MKTP.CN,1592111000000,2311140000000,3884725000000,5725216000000,7911229969663.47
Niger,NER,GDP (current US$),NY.GDP.MKTP.CD,2241753192.81158,4383315964.58718,7851192502.30917,9683867926.44282,13744653102.9945
Niger,NER,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,59.5509181348517,69.7889894733083,90.0188149028951,100,105.814330994663
Niger,NER,GDP deflator: linked series (base year varies by country),NY.GDP.DEFL.ZS.AD,59.5509181348517,69.7889894733084,90.0188149028952,100,105.814330994663
Niger,NER,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1.20847774100575,7.33186884258517,8.57816674262253,4.39264883207291,3.55064109384932
Niger,NER,HFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.HFCG.KT.CE,..,..,..,..,..
Niger,NER,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,..,..,8.04653604442926,15.8616238445724,12.240926752223
Niger,NER,High-technology exports (current US$),TX.VAL.TECH.CD,..,..,4619872,11881005,8771623
Niger,NER,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,0.3,0.35,0.31,..
Niger,NER,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,72.179172212239,72.4099099318951,71.4560103456487,67.3363066127112,71.2349789831698
Niger,NER,Households and NPISHs Final consumption expenditure (annual % growth),NE.CON.PRVT.KD.ZG,-1.29627956029397,1.25392471762235,6.5129476041722,6.87562798074724,5.27029901755982
Niger,NER,Households and NPISHs Final consumption expenditure (constant 2015 US$),NE.CON.PRVT.KD,3418868916.90022,4180155070.274,5116183528.89898,6520758998.91954,9041964741.70591
Niger,NER,"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,723201000,1080122000,275240000,626206000,1694278000
Niger,NER,ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,0.0978686503,0.1819837837,0.3324330123,0.2549113289,0.1178647474
Niger,NER,"Tariff rate, applied, simple mean, all products (%)",TM.TAX.MRCH.SM.AR.ZS,..,14.27,12.8,10.73,10.55
Niger,NER,"Tariff rate, applied, simple mean, manufactured products (%)",TM.TAX.MANF.SM.AR.ZS,..,14.05,12.51,10.27,10.32
Niger,NER,"Tariff rate, applied, simple mean, primary products (%)",TM.TAX.TCOM.SM.AR.ZS,..,15.36,14.12,12.84,11.71
Niger,NER,"Part time employment, female (% of total female employment)",SL.TLF.PART.FE.ZS,..,..,..,..,..
Niger,NER,"Part time employment, male (% of total male employment)",SL.TLF.PART.MA.ZS,..,..,..,..,..
Niger,NER,"Part time employment, total (% of total employment)",SL.TLF.PART.ZS,..,..,..,..,..
Niger,NER,"Patent applications, nonresidents",IP.PAT.NRES,..,..,..,..,..
Niger,NER,"Patent applications, residents",IP.PAT.RESD,..,..,..,..,..
Niger,NER,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..
Niger,NER,"Railways, passengers carried (million passenger-km)",IS.RRS.PASG.KM,..,..,..,..,..
Niger,NER,Real effective exchange rate index (2010 = 100),PX.REX.REER,..,..,..,..,..
Niger,NER,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,87.62,87.54,80.67,78.88,81.91
Niger,NER,"Repeaters, primary, male (% of male enrollment)",SE.PRM.REPT.MA.ZS,12.07617,5.21259,4.46749,3.5241,..
Niger,NER,"Repeaters, primary, total (% of total enrollment)",SE.PRM.REPT.ZS,11.93713,5.3438,4.41761,3.37181,..
Niger,NER,"Repeaters, primary, female (% of female enrollment)",SE.PRM.REPT.FE.ZS,11.72281,5.53433,4.35362,3.18584,..
Niger,NER,Young people (ages 15-24) newly infected with HIV,SH.HIV.INCD.YG,1000,500,500,200,200
Niger,NER,Wholesale price index (2010 = 100),FP.WPI.TOTL,..,..,..,..,..
Niger,NER,Wanted fertility rate (births per woman),SP.DYN.WFRT,..,..,..,..,..
Niger,NER,"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",SL.EMP.WORK.FE.ZS,6.26062890124577,7.03069364981241,7.80194723896685,2.22970034914504,2.49023649482773
Niger,NER,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",SL.EMP.VULN.FE.ZS,93.3478787114247,92.5434972794017,91.7434944484587,97.5268573109437,97.2297027893941
Niger,NER,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",SL.EMP.VULN.MA.ZS,88.6447953635559,88.3233372783718,87.816671886904,91.3320090559832,90.9414579972018
Niger,NER,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,90.705203890064,90.1507264095108,89.4978497515885,93.9199628356615,93.570380208784
Niger,NER,Urban population,SP.URB.TOTL,1881245,2250365,2700398,3270216,4045711
Niger,NER,Urban population (% of total population),SP.URB.TOTL.IN.ZS,16.186,16.242,16.221,16.247,16.626
Niger,NER,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,0,..,..,0,..
Niger,NER,"Tuberculosis case detection rate (%, all forms)",SH.TBS.DTEC.ZS,21,40,54,54,57
Norway,NOR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,100,100,100,100
Norway,NOR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,100,100,100,100,100
Norway,NOR,"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS,100,100,100,100,100
Norway,NOR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100
Norway,NOR,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,100
Norway,NOR,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100,100,100,100,100
Norway,NOR,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,..,..,..
Norway,NOR,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,..,..,..,..,..
Norway,NOR,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,..,..,..,..,..
Norway,NOR,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS,..,..,..,..,..
Norway,NOR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.8,8.9,8.5,7.8,7.5
